2018-11-22 11:30:56 status unpacked dpkg:i386 1.17.27
2018-11-22 11:30:56 install gcc-4.9-base:i386 <none> 4.9.2-10+deb8u1
2018-11-22 11:30:56 status half-installed gcc-4.9-base:i386 4.9.2-10+deb8u1
2018-11-22 11:30:56 status unpacked gcc-4.9-base:i386 4.9.2-10+deb8u1
2018-11-22 11:30:56 status unpacked gcc-4.9-base:i386 4.9.2-10+deb8u1
2018-11-22 11:30:57 upgrade base-passwd:i386 3.5.37 3.5.37
2018-11-22 11:30:57 status half-configured base-passwd:i386 3.5.37
2018-11-22 11:30:57 status unpacked base-passwd:i386 3.5.37
2018-11-22 11:30:57 status half-installed base-passwd:i386 3.5.37
2018-11-22 11:30:57 status half-installed base-passwd:i386 3.5.37
2018-11-22 11:30:57 status unpacked base-passwd:i386 3.5.37
2018-11-22 11:30:57 status unpacked base-passwd:i386 3.5.37
2018-11-22 11:30:57 install libcap2-bin:i386 <none> 1:2.24-8
2018-11-22 11:30:57 status half-installed libcap2-bin:i386 1:2.24-8
2018-11-22 11:30:57 status unpacked libcap2-bin:i386 1:2.24-8
2018-11-22 11:30:57 status unpacked libcap2-bin:i386 1:2.24-8
2018-11-22 11:30:57 install libustr-1.0-1:i386 <none> 1.0.4-3+b2
2018-11-22 11:30:57 status half-installed libustr-1.0-1:i386 1.0.4-3+b2
2018-11-22 11:30:57 status unpacked libustr-1.0-1:i386 1.0.4-3+b2
2018-11-22 11:30:57 status unpacked libustr-1.0-1:i386 1.0.4-3+b2
2018-11-22 11:30:57 install libdb5.3:i386 <none> 5.3.28-9+deb8u1
2018-11-22 11:30:57 status half-installed libdb5.3:i386 5.3.28-9+deb8u1
2018-11-22 11:30:57 status unpacked libdb5.3:i386 5.3.28-9+deb8u1
2018-11-22 11:30:57 status unpacked libdb5.3:i386 5.3.28-9+deb8u1
2018-11-22 11:30:57 install dash:i386 <none> 0.5.7-4+b1
2018-11-22 11:30:57 status half-installed dash:i386 0.5.7-4+b1
2018-11-22 11:30:57 status unpacked dash:i386 0.5.7-4+b1
2018-11-22 11:30:57 status unpacked dash:i386 0.5.7-4+b1
2018-11-22 11:30:57 install libsystemd0:i386 <none> 215-17+deb8u7
2018-11-22 11:30:57 status half-installed libsystemd0:i386 215-17+deb8u7
2018-11-22 11:30:57 status unpacked libsystemd0:i386 215-17+deb8u7
2018-11-22 11:30:57 status unpacked libsystemd0:i386 215-17+deb8u7
2018-11-22 11:30:57 install libtinfo5:i386 <none> 5.9+20140913-1+deb8u3
2018-11-22 11:30:57 status half-installed libtinfo5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:57 status unpacked libtinfo5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:57 status unpacked libtinfo5:i386 5.9+20140913-1+deb8u3
2018-11-22 11:30:57 install debconf-i18n:all <none> 1.5.56+deb8u1
2018-11-22 11:30:57 status half-installed debconf-i18n:all 1.5.56+deb8u1
2018-11-22 11:30:58 status unpacked debconf-i18n:all 1.5.56+deb8u1
2018-11-22 11:30:58 status unpacked debconf-i18n:all 1.5.56+deb8u1
2018-11-22 11:30:58 install e2fslibs:i386 <none> 1.42.12-2+b1
2018-11-22 11:30:58 status half-installed e2fslibs:i386 1.42.12-2+b1
2018-11-22 11:30:58 status unpacked e2fslibs:i386 1.42.12-2+b1
2018-11-22 11:30:58 status unpacked e2fslibs:i386 1.42.12-2+b1
2018-11-22 11:30:58 install libprocps3:i386 <none> 2:3.3.9-9+deb8u1
2018-11-22 11:30:58 status half-installed libprocps3:i386 2:3.3.9-9+deb8u1
2018-11-22 11:30:58 status unpacked libprocps3:i386 2:3.3.9-9+deb8u1
2018-11-22 11:30:58 status unpacked libprocps3:i386 2:3.3.9-9+deb8u1
2018-11-22 11:30:58 install libpcre3:i386 <none> 2:8.35-3.3+deb8u4
2018-11-22 11:30:58 status half-installed libpcre3:i386 2:8.35-3.3+deb8u4
2018-11-22 11:30:58 status unpacked libpcre3:i386 2:8.35-3.3+deb8u4
2018-11-22 11:30:58 status unpacked libpcre3:i386 2:8.35-3.3+deb8u4
2018-11-22 11:30:58 install initscripts:i386 <none> 2.88dsf-59
